dataset,ce,act,pe,seed,encoding_kwargs_json,lr,batch_size,num_epochs,mlp_num_layers,mlp_layer_width,sine_w0,gaussian_a,ffn_scale,mapping_input,omega,sh_lmax,reconstruction_psnr,reconstruction_psnr_polar,reconstruction_psnr_equatorial,reconstruction_psnr_r,reconstruction_psnr_g,reconstruction_psnr_b,held_out_psnr,held_out_psnr_polar,held_out_psnr_equatorial,held_out_psnr_r,held_out_psnr_g,held_out_psnr_b,status,parameter_count,wall_clock_seconds,peak_gpu_mem_mb,epochs_run,timestamp_start,timestamp_end,log_dir,mitigation_note
hdri_urban,cartesian,relu,RFF,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,24.38814353942871,28.54983139038086,22.21723747253418,24.223365783691406,26.108016967773438,23.287864685058594,19.95771598815918,25.436687469482422,16.71727752685547,19.975919723510742,20.773393630981445,19.25579833984375,completed,280579,862.495,,500,2026-06-28T05:11:09,2026-06-28T05:25:32,logs/grid/relu__rff__hdri_urban__seed42/relu/version_0,
etopo1,spherical-harmonics,relu,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,37.90117645263672,40.0419807434082,37.2436408996582,nan,nan,nan,31.21882438659668,34.89127731323242,29.405521392822266,nan,nan,nan,completed,542465,1306.496,,500,2026-06-28T05:25:38,2026-06-28T05:47:25,logs/grid/relu__sh__etopo1__seed42/relu/version_0,
era5,spherical-harmonics,relu,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,56.64841079711914,55.78650665283203,58.8309326171875,nan,nan,nan,48.18706512451172,47.929771423339844,48.7061767578125,nan,nan,nan,completed,542465,1278.999,,500,2026-06-28T05:47:32,2026-06-28T06:08:51,logs/grid/relu__sh__era5__seed42/relu/version_0,
cmb,spherical-harmonics,relu,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,43.92555236816406,44.990966796875,43.822181701660156,nan,nan,nan,36.77141571044922,37.41674041748047,36.009029388427734,nan,nan,nan,completed,542465,1286.050,,500,2026-06-28T06:08:57,2026-06-28T06:30:23,logs/grid/relu__sh__cmb__seed42/relu/version_0,
hdri_sky,spherical-harmonics,relu,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,44.793846130371094,43.80175018310547,45.28557205200195,43.632362365722656,44.974395751953125,46.136268615722656,39.77961349487305,38.48023223876953,40.05571365356445,38.385921478271484,39.769996643066406,41.859886169433594,completed,542979,1283.112,,500,2026-06-28T06:30:30,2026-06-28T06:51:53,logs/grid/relu__sh__hdri_sky__seed42/relu/version_0,
hdri_urban,spherical-harmonics,relu,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,32.53433609008789,38.92338562011719,28.67218780517578,32.52398681640625,33.49368667602539,31.7576904296875,25.52212142944336,36.26258850097656,21.184242248535156,25.86301612854004,26.14828872680664,24.69512939453125,completed,542979,1314.503,,500,2026-06-28T06:52:00,2026-06-28T07:13:54,logs/grid/relu__sh__hdri_urban__seed42/relu/version_0,
etopo1,cartesian,relu,FKAN,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,32.83612060546875,36.315914154052734,31.174619674682617,nan,nan,nan,31.046390533447266,34.62367630004883,29.21582794189453,nan,nan,nan,completed,313025,986.718,,500,2026-06-28T07:13:58,2026-06-28T07:30:24,logs/grid/relu__fkan__etopo1__seed42/relu/version_0,
era5,cartesian,relu,FKAN,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,45.323699951171875,45.925537109375,45.589927673339844,nan,nan,nan,44.29151153564453,44.53105545043945,44.76103210449219,nan,nan,nan,completed,313025,992.694,,500,2026-06-28T07:30:27,2026-06-28T07:46:59,logs/grid/relu__fkan__era5__seed42/relu/version_0,
cmb,cartesian,relu,FKAN,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,36.832149505615234,38.44084930419922,36.057533264160156,nan,nan,nan,35.34062194824219,36.34861373901367,34.62604522705078,nan,nan,nan,completed,313025,966.179,,500,2026-06-28T07:47:02,2026-06-28T08:03:08,logs/grid/relu__fkan__cmb__seed42/relu/version_0,
hdri_sky,cartesian,relu,FKAN,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,39.25517272949219,38.8933219909668,39.08281707763672,37.76264953613281,39.376060485839844,41.34988784790039,37.861610412597656,37.09652328491211,37.785579681396484,36.347965240478516,37.911888122558594,40.119895935058594,completed,313539,1101.860,,500,2026-06-28T08:03:11,2026-06-28T08:21:33,logs/grid/relu__fkan__hdri_sky__seed42/relu/version_0,
hdri_urban,cartesian,relu,FKAN,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,26.969491958618164,33.14118576049805,23.05992317199707,26.76595687866211,27.63303565979004,26.580486297607422,24.77994728088379,32.706321716308594,20.638273239135742,24.89312171936035,25.37470245361328,24.15898895263672,completed,313539,1080.757,,500,2026-06-28T08:21:36,2026-06-28T08:39:36,logs/grid/relu__fkan__hdri_urban__seed42/relu/version_0,
era5,spherical-harmonics,relu,None,42,"{""L_max"": 13}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,13,45.1458740234375,44.84856414794922,46.181182861328125,nan,nan,nan,44.27552795410156,43.881282806396484,45.324729919433594,nan,nan,nan,completed,313857,983.453,,500,2026-06-28T08:39:40,2026-06-28T08:56:03,logs/grid/relu__sh__era5__seed42__sh_post_lmax13/relu/version_0,
hdri_sky,spherical-harmonics,relu,None,42,"{""L_max"": 31}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,31,44.53272247314453,43.695030212402344,44.99532699584961,43.354373931884766,44.74147415161133,45.868507385253906,39.766231536865234,38.48712158203125,40.040000915527344,38.350223541259766,39.783653259277344,41.852684020996094,completed,526339,1291.728,,500,2026-06-28T08:56:10,2026-06-28T09:17:41,logs/grid/relu__sh__hdri_sky__seed42__sh_post_lmax31/relu/version_0,
etopo1,spherical-harmonics,relu,None,42,"{""L_max"": 16}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,16,33.252418518066406,36.770137786865234,31.5433349609375,nan,nan,nan,31.196380615234375,34.82653045654297,29.36964225769043,nan,nan,nan,completed,337665,1051.292,,500,2026-06-28T09:17:46,2026-06-28T09:35:17,logs/grid/relu__sh__etopo1__seed42__sh_pre_lmax16/relu/version_0,
hdri_urban,spherical-harmonics,relu,None,42,"{""L_max"": 16}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,16,26.925952911376953,34.78432846069336,22.78764533996582,26.958799362182617,27.590621948242188,26.32107162475586,24.894067764282227,34.14857482910156,20.64527702331543,25.096038818359375,25.474864959716797,24.209918975830078,completed,338179,1050.634,,500,2026-06-28T09:35:21,2026-06-28T09:52:51,logs/grid/relu__sh__hdri_urban__seed42__sh_pre_lmax16/relu/version_0,
cmb,spherical-harmonics,relu,None,42,"{""L_max"": 16}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,16,37.175601959228516,38.39350509643555,36.55696487426758,nan,nan,nan,35.64185333251953,36.48473358154297,34.982025146484375,nan,nan,nan,completed,337665,1036.434,,500,2026-06-28T09:52:55,2026-06-28T10:10:12,logs/grid/relu__sh__cmb__seed42__sh_pre_lmax16/relu/version_0,
etopo1,angular,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,42.0289192199707,43.536094665527344,41.92814254760742,nan,nan,nan,30.239192962646484,33.18412399291992,28.57425308227539,nan,nan,nan,completed,264213,1061.634,243.24,500,2026-06-28T10:18:11,2026-06-28T10:35:53,logs/grid\scaled_sine__none_angular__etopo1__seed42\scaled-sine\version_0,
era5,angular,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,38.10186004638672,37.65132141113281,39.347442626953125,nan,nan,nan,38.021141052246094,37.572452545166016,39.2764892578125,nan,nan,nan,completed,264213,268.193,243.24,120,2026-06-28T10:36:05,2026-06-28T10:40:33,logs/grid\scaled_sine__none_angular__era5__seed42\scaled-sine\version_0,
cmb,angular,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,32.47743225097656,33.77326965332031,31.601408004760742,nan,nan,nan,32.352386474609375,33.552188873291016,31.51344108581543,nan,nan,nan,completed,264213,273.683,243.24,120,2026-06-28T10:40:46,2026-06-28T10:45:20,logs/grid\scaled_sine__none_angular__cmb__seed42\scaled-sine\version_0,
