cell,dataset,lmax,recon_o,recon_p,recon_e,held_o,held_p,held_e,recon_R,recon_G,recon_B,held_R,held_G,held_B,epochs,secs,params
relu+sh,etopo1,32,37.90,40.04,37.24,31.22,34.89,29.41,,,,,,,500,1306,542K
relu+sh,etopo1,16,33.25,36.77,31.54,31.20,34.83,29.37,,,,,,,500,1051,337K
relu+sh,hdri_sky,32,44.79,43.80,45.29,39.78,38.48,40.06,43.63,44.97,46.14,38.39,39.77,41.86,500,1283,542K
relu+sh,hdri_sky,31,44.53,43.70,45.00,39.77,38.49,40.04,43.35,44.74,45.87,38.35,39.78,41.85,500,1292,526K
relu+sh,hdri_urban,32,32.53,38.92,28.67,25.52,36.26,21.18,32.52,33.49,31.76,25.86,26.15,24.70,500,1315,542K
relu+sh,hdri_urban,16,26.93,34.78,22.79,24.89,34.15,20.65,26.96,27.59,26.32,25.10,25.47,24.21,500,1051,338K
ssine+ang,cmb,,32.48,33.77,31.60,32.35,33.55,31.51,,,,,,,120,274,264K
ssine+ang,era5,,38.10,37.65,39.35,38.02,37.57,39.28,,,,,,,120,268,264K
ssine+ang,etopo1,,42.03,43.54,41.93,30.24,33.18,28.57,,,,,,,500,1062,264K
ssine+ang,hdri_sky,,49.04,49.23,48.32,39.35,37.83,39.67,47.92,49.52,49.97,37.83,39.28,41.84,500,1072,264K
ssine+ang,hdri_urban,,36.75,40.54,33.97,24.94,35.60,20.59,36.40,37.23,36.64,25.30,25.56,24.11,500,1114,264K
ssine+cart,cmb,,44.74,47.33,44.08,34.92,33.69,35.23,,,,,,,500,1144,264K
ssine+cart,era5,,38.48,39.56,38.86,38.19,38.64,38.81,,,,,,,140,344,264K
ssine+cart,etopo1,,39.41,41.50,39.54,30.34,32.83,28.72,,,,,,,500,1150,264K
ssine+cart,hdri_sky,,30.29,29.66,30.12,30.26,29.58,30.09,28.89,30.32,32.34,28.85,30.28,32.30,140,327,264K
ssine+cart,hdri_urban,,35.78,40.69,32.72,25.21,38.17,20.78,35.46,36.29,35.62,25.54,25.79,24.43,500,1074,264K
ssine+fkan,cmb,,45.19,47.49,44.88,35.88,36.15,35.08,,,,,,,500,1087,313K
ssine+fkan,era5,,36.91,37.56,36.87,36.85,37.43,36.84,,,,,,,140,325,313K
